# traceability.txt  —  bsv-universal-sdk
# Authoritative requirement index (REQ-TRACE-001). Generated as a SKELETON.
#
# Format:  REQ-ID | spec-section | status | code-path(s) | test-id(s) | notes
# status in {OPEN, IN-PROGRESS, IMPLEMENTED, VERIFIED, DEPENDS-ON-SOURCE, DEPENDS-ON-VERIFICATION, DEPENDS-ON-DECISION, BLOCKED}
#
# HONESTY CONVENTION (read before trusting any row):
#  - Nothing is built yet. Every row is OPEN or a DEPENDS-*/BLOCKED dependency. There are zero
#    IMPLEMENTED/VERIFIED rows by construction.
#  - code-path(s) and test-id(s) are TARGETS (intended locations / governing test obligations),
#    NOT claims that code or tests exist. A row may move to IMPLEMENTED only when its code paths
#    exist; to VERIFIED only when its tests exist and pass in `pnpm ci` AND any DEPENDS-* is discharged
#    (REQ-TRACE-002).
#  - test-id(s) reference real REQ-TEST-* obligations defined in the spec, not invented filenames.
#  - The source documents have been READ this session (they were ZIP archives with extracted text,
#    not image-only PDFs). Residual DEPENDS-ON-SOURCE = absent codebases (bsv-poker / D6 binding) and
#    the absent Savanah-Wright [2019] threshold-ECDSA paper. DEPENDS-ON-VERIFICATION = live
#    BSV/Teranode nSequence enforcement (REQ-TIME-004). DEPENDS-ON-DECISION = per-module design
#    choice (REQ-FAIR-002 in-script-EC, REQ-FAIR-003 TEE). BLOCKED = premise disproven
#    (REQ-SQL-001: the on-chain-SQL substrate does not exist; superseded by REQ-JRNL-002..005).
#  - `pnpm trace` must regenerate/verify this file; counts here MUST match spec §18.
#
# STATUS TALLY (this file): total=164
#   OPEN                     157
#   IN-PROGRESS              0
#   IMPLEMENTED              0
#   VERIFIED                 0
#   DEPENDS-ON-SOURCE        3
#   DEPENDS-ON-VERIFICATION  1
#   DEPENDS-ON-DECISION      2
#   BLOCKED                  1
#   ----  core REQs = 121  |  module REQs = 43  ----
#   (+10 REQ-SEC-* added by SECURITY-HARDENING.md — ESTATES-audit hardening; SECTION §20.
#    Each REQ-SEC conforms to ESTATES' VERIFIED CI-green fix (file:symbol confirmed present),
#    not just the audit prose — see SECURITY-HARDENING.md §1A reference table.)

REQ-ID            | SECTION                                      | STATUS                  | CODE-PATH(S) [target]                                                   | TEST-ID(S) [target]                            | NOTES
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
REQ-SCOPE-001     | §1                                           | OPEN                    | (policy/spec) docs/spec                                                 | REQ-TEST-004                                   | -
REQ-SCOPE-002     | §1                                           | OPEN                    | (policy/spec) docs/spec                                                 | REQ-TEST-004                                   | -
REQ-SCOPE-003     | §1                                           | OPEN                    | packages/sdk/src/gates/concealment-gate.ts, packages/crypto/**          | REQ-TEST-004                                   | Gate now specified: analysis MUST address the sources' stated open obligations (global shuffle-permutation soundness, adaptive bias, P5 reduction, cross-session trackability, abort-conditioned bias, pre-commit collusion, rejection sampling, fairness level FAIR-001, in-script-EC FAIR-002, TEE FAIR-003). See SOURCE-CONFORMANCE.md §5.
REQ-SCOPE-004     | §1                                           | OPEN                    | (policy/spec) docs/spec                                                 | REQ-TEST-004                                   | -
REQ-BAN-001       | §2                                           | OPEN                    | tooling/check-bans/**, packages/interpreter/**                          | REQ-TEST-001, REQ-TEST-004                     | OP_RETURN banned everywhere; enforced at check:bans + interpreter opcode whitelist. Any use = automatic reject.
REQ-BAN-002       | §2                                           | OPEN                    | tooling/check-bans/**, packages/interpreter/**                          | REQ-TEST-001, REQ-TEST-004                     | OP_CHECKLOCKTIMEVERIFY (CLTV) banned (BTC artifact / no-op post-Genesis).
REQ-BAN-003       | §2                                           | OPEN                    | tooling/check-bans/**, packages/interpreter/**                          | REQ-TEST-001, REQ-TEST-004                     | OP_CHECKSEQUENCEVERIFY (CSV) banned (BTC artifact / no-op post-Genesis).
REQ-TIME-004      | §5                                           | DEPENDS-ON-VERIFICATION | packages/script-templates-ts/**, packages/sdk/src/buildTx.ts            | REQ-TEST-002, REQ-TEST-009                     | Relative-locktime via nSequence UNVERIFIED on BSV/Teranode. Read sources use ABSOLUTE nLockTime for actual timeouts/aborts/recovery, supporting the absolute-fallback stance. Absolute-nLockTime fallback MANDATORY until confirmed. Do NOT assume BTC BIP68.
REQ-BAN-004       | §2                                           | OPEN                    | tooling/check-bans/**, packages/interpreter/**                          | REQ-TEST-001, REQ-TEST-004                     | -
REQ-BAN-005       | §2                                           | OPEN                    | tooling/check-bans/**, packages/interpreter/**                          | REQ-TEST-001, REQ-TEST-004                     | -
